Date,Time [EET/EEST],Forecast [KWh/h],Perc10 [KWh/h],Perc20 [KWh/h],Perc30 [KWh/h],Perc40 [KWh/h],Perc60 [KWh/h],Perc70 [KWh/h],Perc80 [KWh/h],Perc90 [KWh/h]
13-04-2025,13:30,13284,10943,11528,12114,12698,13821,14357,14893,15430
13-04-2025,13:45,13121,10855,11422,11989,12554,13646,14171,14695,15220
13-04-2025,14:00,12943,10704,11264,11824,12383,13466,13989,14511,15033
13-04-2025,14:15,12755,10505,11067,11630,12192,13283,13812,14340,14868
13-04-2025,14:30,12532,10265,10832,11399,11965,13068,13603,14138,14674
13-04-2025,14:45,12247,9988,10552,11118,11682,12784,13320,13857,14394
13-04-2025,15:00,11876,9675,10225,10776,11326,12402,12926,13452,13977
13-04-2025,15:15,11423,9334,9856,10379,10901,11923,12423,12923,13423
13-04-2025,15:30,10905,8952,9441,9929,10417,11375,11845,12314,12784
13-04-2025,15:45,10344,8511,8969,9428,9885,10787,11230,11672,12115
13-04-2025,16:00,9752,7990,8431,8872,9311,10181,10609,11037,11465
13-04-2025,16:15,9124,7380,7816,8253,8688,9551,9978,10404,10831
13-04-2025,16:30,8454,6715,7150,7585,8020,8883,9312,9741,10169
13-04-2025,16:45,7741,6035,6461,6888,7315,8164,8587,9010,9433
13-04-2025,17:00,6972,5365,5766,6169,6570,7372,7773,8174,8574
13-04-2025,17:15,6126,4677,5039,5402,5764,6489,6852,7215,7578
13-04-2025,17:30,5245,3987,4301,4616,4931,5563,5879,6197,6513
13-04-2025,17:45,4386,3323,3589,3855,4120,4656,4925,5195,5463
13-04-2025,18:00,3579,2700,2920,3140,3359,3803,4027,4251,4474
13-04-2025,18:15,2777,2091,2263,2435,2606,2954,3129,3305,3480
13-04-2025,18:30,2017,1521,1645,1770,1893,2145,2273,2401,2529
13-04-2025,18:45,1360,1029,1112,1195,1277,1446,1533,1618,1705
13-04-2025,19:00,858,651,702,755,806,913,968,1022,1077
13-04-2025,19:15,500,380,409,440,470,532,564,596,629
13-04-2025,19:30,249,190,205,220,235,266,282,298,314
13-04-2025,19:45,73,55,59,64,68,77,82,87,91
13-04-2025,20:00,0,0,0,0,0,0,0,0,0
13-04-2025,20:15,0,0,0,0,0,0,0,0,0
13-04-2025,20:30,0,0,0,0,0,0,0,0,0
13-04-2025,20:45,0,0,0,0,0,0,0,0,0
13-04-2025,21:00,0,0,0,0,0,0,0,0,0
13-04-2025,21:15,0,0,0,0,0,0,0,0,0
13-04-2025,21:30,0,0,0,0,0,0,0,0,0
13-04-2025,21:45,0,0,0,0,0,0,0,0,0
13-04-2025,22:00,0,0,0,0,0,0,0,0,0
13-04-2025,22:15,0,0,0,0,0,0,0,0,0
13-04-2025,22:30,0,0,0,0,0,0,0,0,0
13-04-2025,22:45,0,0,0,0,0,0,0,0,0
13-04-2025,23:00,0,0,0,0,0,0,0,0,0
